timestamp,vehicle_id,X_vehicle_position,Y_vehicle_position,vehicle_speed,vehicle_acceleration,traffic_light_state,front_vehicle_id,lane_id,intersction_id,lanes_leading_1,lanes_leading_2,vehicle_length,Gap,vehicle_arrangement,lane_length,number_of_vehical_on_lane,number_of_places_available_in_lane,num_veh_neighbor_lane,num_veh_neighbor_lane_2,avg_speed_veh_neighbor_lane,avg_acceleration_veh_neighbor_lane,angle_movment,number_of_vehicles_moving_from_1,number_of_vehicles_moving_from_2,start_lane,end_lane
0,0,483.16999999999996,1.6,0.0,0.0,0,-1,-E16_0,2,-E29_0,E28_0,5.0,2.5,0,81.07,1,9.0,0,0,0.0,0.0,270.0,0,0,"(407.2, 1.6)","(488.27, 1.6)"
0,8,398.4,83.17,0.0,0.0,1,-1,-E15_0,2,-E30_0,E29_0,5.0,2.5,0,81.07,1,9.0,0,0,0.0,0.0,180.0,0,0,"(398.4, 7.2)","(398.4, 88.27)"
5,0,460.5512856362201,1.6,28.28,2.1206296276068315,0,-1,-E16_0,2,-E29_0,E28_0,5.0,2.5,0,81.07,2,8.0,2,1,4.9121259499574075,1.7895893495762716,270.0,1,0,"(407.2, 1.6)","(488.27, 1.6)"
5,1,480.4073534935759,1.6,7.11,1.1862403376726434,0,0,-E16_0,2,-E29_0,E28_0,5.0,2.5,1,81.07,2,8.0,2,1,4.9121259499574075,1.7895893495762716,270.0,1,0,"(407.2, 1.6)","(488.27, 1.6)"
5,8,398.4,50.287395577835845,32.22,1.3408255527028814,1,-1,-E15_0,2,-E30_0,E29_0,5.0,2.5,0,81.07,2,8.0,2,2,5.711788325857931,1.9773847374250177,180.0,1,1,"(398.4, 7.2)","(398.4, 88.27)"
5,9,398.4,78.4235283442121,7.78,0.7776938921306282,1,8,-E15_0,2,-E30_0,E29_0,5.0,2.5,1,81.07,2,8.0,2,2,5.711788325857931,1.9773847374250177,180.0,1,1,"(398.4, 7.2)","(398.4, 88.27)"
5,Veh052fa145-910d-4d90-9a55-263148dc31b0,229.491422529798,-1.6,24.16,1.6254563231486836,0,-1,E7_0,2,-E18_0,-E22_0,4.7,1.3,0,185.6,2,28.0,1,1,8.270242345286533,1.7272898393450298,90.0,0,0,"(392.8, -1.6)","(207.2, -1.6)"
5,Veh1cbab766-1355-4bd4-bb93-296ad502acaa,198.4,-14.383358021708245,8.38,2.2697484373347834,1,Veh21952d33-4045-4776-a9a1-34ca62e85d6b,E8_0,3,-E10_0,-E22_0,4.7,1.3,1,185.6,2,28.0,2,1,5.057495903095696,2.0145439037703907,180.0,1,0,"(198.4, -192.8)","(198.4, -7.2)"
5,Veh3cdf042d-f77d-49ff-b7b6-eb9de51744a3,401.6,-81.19904898949946,7.86,2.0983787279808896,1,Veh7e969834-163f-4f38-9879-b6e4fdfc62a1,-E17_0,2,-E28_0,E27_0,4.7,1.3,1,81.07,2,11.0,2,1,5.695305804303297,2.118960262381006,0.0,1,0,"(401.6, -7.2)","(401.6, -88.27)"
5,Veh4603d211-0269-4549-8682-2f738ad40c84,118.3197194640711,198.4,6.44,1.7897194640710952,0,Vehc5a07c5a-af69-4b11-b19f-79d37a63c309,-E12_0,1,-E33_0,E32_0,4.7,1.3,1,81.07,2,11.0,0,1,0.0,0.0,90.0,0,0,"(192.8, 198.4)","(111.73, 198.4)"
5,Veh56df4791-8e47-4c39-b5da-e451dcf81766,138.42794480341954,-201.6,31.86,2.4710567565867674,0,-1,-E21_0,3,-E220_0,E18_0,4.7,1.3,0,81.07,2,11.0,1,2,6.973116590897553,1.482783052581362,90.0,0,1,"(192.8, -201.6)","(111.73, -201.6)"
